start,end,file,Buteo platypterus_Broad-winged Hawk,Cyanocitta cristata_Blue Jay,Vireo olivaceus_Red-eyed Vireo,Pinicola enucleator_Pine Grosbeak,Catharus guttatus_Hermit Thrush,Hylocichla mustelina_Wood Thrush,Setophaga virens_Black-throated Green Warbler,Sitta canadensis_Red-breasted Nuthatch,Salpinctes obsoletus_Rock Wren,Haemorhous mexicanus_House Finch,Piranga olivacea_Scarlet Tanager,Setophaga fusca_Blackburnian Warbler,Geothlypis trichas_Common Yellowthroat,Contopus virens_Eastern Wood-Pewee,Anas platyrhynchos_Mallard,Lithobates catesbeianus_American Bullfrog,Engine_Engine,Polioptila caerulea_Blue-gray Gnatcatcher,Poecile atricapillus_Black-capped Chickadee,Pipilo erythrophthalmus_Eastern Towhee,Zonotrichia leucophrys_White-crowned Sparrow,Microcentrum rhombifolium_Greater Angle-wing,Vireo solitarius_Blue-headed Vireo,Myiarchus crinitus_Great Crested Flycatcher,Botaurus lentiginosus_American Bittern,Setophaga striata_Blackpoll Warbler,Colaptes auratus_Northern Flicker,Chordeiles minor_Common Nighthawk,Human non-vocal_Human non-vocal
0.0,3.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_012400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_012500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_012600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_012700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_012800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_012900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_044500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_044600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_044700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_044900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_045000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_045100.WAV,,,,,,,,,,0.4480823874473572,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_045100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250724_045200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250724_045300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
